category,text_cleaned_string
neutral,dear he`s omgogmgo u didn`t see going u
negative,bunch flights delayed ffl northeast destinations announcements gate whats going
positive,keep flights cheap earlyon time good flew cancelled flightled flight times last month unitedgt
positive,great interview videos favorite youtube
positive,favorite airlines ive never issues plus crew entertaining
negative,flight delayed ny problem
neutral,lonely day
negative,airline flying bna today
neutral,power went well except i`m cal
positive,hoping mom likes pamper gifts sent
neutral,get house
positive,hope u alright final
positive,classic rock used love song much xl
positive,_jg hahaha don`t owe anything owe red lol te amo idiot hahaha te veo ahasta el lunes
negative,phone die plugged wtf
negative,sorry couldn`t fit hal`s name
neutral,want
positive,_y_yankees changed default pic since you`ve showing much love
neutral,upssher name writen like chesca
neutral,yeah think we`ve earned
negative,feels like ages away months
negative,would flight arrive late flight leave passengers connection
negative,it`s cold north like df yesterday it`s
neutral,airport snow removal method keep good work folks cessnas become
negative,you`ll missed bring back keychain
neutral,embossed badges patches superior ones currently using
positive,congratulations woootwoooo great game nakakahyper kayo
neutral,hype friday raining outsideno rain day rainin time kickitmr sun trippin
positive,love lady progressive commercials she`s funny
negative,except delayed flight anyway
positive,beiing naughty
negative,white shoes make cringe white shoes give pause
negative,whimper
neutral,faa thaa night movie night
negative,really want go milwaukee sis doesn`t want well won`t tell
negative,bad service miami airport
neutral,standin forest got maddest photos taken
positive,well bedcant wait party mother`s day like hours
positive,omg david chat amazing last night hope see soon love miss guys mrscjbaranlt
negative,ugh boring friday
positive,share lovethanks top new followers week happy want
positive,kudos adding passbook app love
positive,going say thing fun dinner know
neutral,formerly pretty car
negative,deodorant shampoo toothpaste seems like would limited oz correct
neutral,going paces decommissioing poignant moment air arm give send true war horse
positive,wonderingis crazy say love take away im headoverheels crazy
neutral,trying got unread email messages looks like i`ll rest evening
negative,flight worst experience weve ever flight regretting opening air miles card hotterandlongerthanhell
positive,wow easy thank
negative,still hold hr minsthank god chairman status status match
neutral,definitely going sold f heavy think i`ll get away twedding
positive,thank ye vaneta much appreciated
neutral,pm hangs
negative,hold music needs fixedcertain tracks loud phone button mashing tones themestimated wait time would help
positive,ok hit hay thank
neutral,jmp raises apple price target reasons jmp aapl stocks wallstreet
positive,got package wow im excited one plant pot water till grows
negative,cant guarantee parents sit children dont sell tickets promise jetblue
negative,large wichita falls airport receiving arrivals called one answers waiting day
negative,hours hold customer service never us sw
negative,suck
negative,everyone around us sitting friends family members booked tickets october december bought
negative,cancelled flighted
neutral,someone united states liked eleminis
neutral,thought back work today
positive,kind jealous laughs ny fault working hard happy
neutral,book award travel etihad dividend miles
negative,many things missed tweeting
neutral,im seeing hannah montana movie today
neutral,wheniwerealad explain worked lol rude explanations pleeezzze
neutral,cause wasn`t
positive,purple pusrse pretty someone tell katie holmes
negative,got bit car accident poor patrick
negative,new tecas driver license design ugly
positive,ok everyone whos racing weekend dm picture car amp make model ill put blog
negative,hear blah blah blah shoulda used buy ticket instead amp ill driving flying
negative,im going work married wud never see
positive,thats good idea qullie
negative,gah buddy k must hang person right miss along parker mcphee
positive,hey handsome i`m packing
negative,plus janessa hurt feelings
neutral,twittername hosted twitterfridge email us want us open fridge check wwwtwitterfridgecom
negative,updates flt gate expected time departure
neutral,cool hope feel better went breakfast buy gone
negative,waited hours stuffy plane could get hrs get luggage americanairlines
negative,_beckiie_x omg going see another reason live devon none fin cinemas film im annoyed
neutral,wt red wine
neutral,know flight pilots coming thanks
negative,never able talk someone buy another new ticket calling shortly refund
negative,airline embarrassing get bad weather isnt fault response couldnt worse
negative,well wont let handle reservationchange online amp reservation call hangs wtf bullshit
negative,studio ft one outlet computers need batteries future
negative,guess take chances amp keep courtesy free seems cabin always full
negative,biblical lectures coming notification soon tomorrow
positive,celebrated plays lastfm dez moines tdwp
negative,want bag flight
positive,thanks finding amusing rubiks pictures tonight making evening via
neutral,store airport close we`ll get wdw trip
neutral,can`t change profile settings
positive,one shortly soap awards judging starts
negative,useless response need functioning wheelchair customer care form fill
positive,thought one best heroes pitty killing good characters use thing lol
neutral,yeah i`m shy everything still nothing check sale bites yet
neutral,returned huntsville saw sam houston`s grave went prison museum ate chocolate dipped strawberries
negative,lol seriously fail sigh
negative,ask reimbursement maybe miles added account inconvenience money spend
positive,youre favorite quotright wing conspiracyquot nut job
negative,whats status flight xna dfw im getting different reports
negative,flight ord couldnt let know found via app minutes landing awful flight
positive,denial truth
neutral,got updated ipod
positive,making german apple slice nom nom nom
positive,right im peeps hope fixes twitter mobile tweet race mtwitter days fail
